INFO 2023-12-21 18:44:20,785 autoreload Watching for file changes with StatReloader
DEBUG 2023-12-21 18:44:20,785 autoreload Waiting for apps ready_event.
DEBUG 2023-12-21 18:44:20,790 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-12-21 18:44:20,807 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\locale with glob **/*.mo.
DEBUG 2023-12-21 18:44:20,808 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\ca2\backend\bird_hides\locale with glob **/*.mo.
DEBUG 2023-12-21 18:44:20,899 utils (0.000) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2023-12-21 18:44:20,903 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\json\decoder.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\files\locks.py first seen with mtime 1693929974.5149987
DEBUG 2023-12-21 18:44:21,023 autoreload File C:\Users\Jade Higgins\AppData\Roaming\Python\Python310\site-packages\numpy\lib\format.py first seen with mtime 1665171937.1358907
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1681817740.592449
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\http\__init__.py first seen with mtime 1693929974.5949988
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\zoneinfo\_common.py first seen with mtime 1686090633.0
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\template\loaders\base.py first seen with mtime 1693929974.602999
DEBUG 2023-12-21 18:44:21,023 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1693929974.5629988
DEBUG 2023-12-21 18:44:21,024 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\core\management\commands\__init__.py first seen with mtime 1693929974.5229986
DEBUG 2023-12-21 18:44:21,024 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1693929974.5429986
