INFO 2023-12-21 18:04:23,641 autoreload Watching for file changes with StatReloader
DEBUG 2023-12-21 18:04:23,642 autoreload Waiting for apps ready_event.
DEBUG 2023-12-21 18:04:23,652 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-12-21 18:04:23,675 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\assignment1\templates with glob **/*.
DEBUG 2023-12-21 18:04:23,676 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\templates with glob **/*.
DEBUG 2023-12-21 18:04:23,676 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\locale with glob **/*.mo.
DEBUG 2023-12-21 18:04:23,677 autoreload Watching dir B:\anaconda\envs\milo_is_gay\lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2023-12-21 18:04:23,677 autoreload Watching dir C:\Users\Jade Higgins\OneDrive - Technological University Dublin\4th-year-2023\awm-github\Advanced-Web\advanced-web-mapping\lab2-geo\geodjango\assignment1\locale with glob **/*.mo.
DEBUG 2023-12-21 18:04:23,678 autoreload Watching dir B:\anaconda\envs\milo_is_gay\lib\site-packages\widget_tweaks\locale with glob **/*.mo.
DEBUG 2023-12-21 18:04:23,795 utils (0.016) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2023-12-21 18:04:23,802 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2023-12-21 18:04:23,923 autoreload File B:\anaconda\envs\milo_is_gay\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1693929974.4989986
